Country Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
ECS,3.035529228,3.116249565,3.205829315,3.17405594,3.117213428,3.078582011,2.926413668,2.886801516,2.761968759,2.670547165,2.601405332,2.468763046,2.428679375,2.329952165,2.24898237,2.038644581,2.015990253,2.008365475,1.896473762,1.87847426,1.8567714,1.827112887,1.848864626,1.834702556,1.793564175,1.731504194,1.727852575,1.703597662,1.728356459,1.826287979,1.768913248
ECU,1.781224699,1.677840318,1.654002831,1.57477835,1.485232327,1.779738554,1.837386828,1.966316149,1.977626848,1.923989193,1.890323788,1.778360165,1.667206599,1.821421501,1.559343468,2.34132011,1.950397527,2.104171235,2.357234865,1.751925046,1.452075953,1.569375982,1.768891985,2.278553365,1.940332799,2.298402791,2.029825877,2.56823582,2.665041736,3.117418088,3.010551292
EGY,6.160310278,7.416909621,7.188960605,7.958673933,8.26523207,7.856933059,7.498130566,6.528742771,5.060876623,3.968098958,3.467699536,3.611744704,3.215500632,3.097736992,3.153934651,3.082036234,2.97481187,2.841485218,2.659383291,2.569767478,2.55126514,2.98556856,3.278454797,3.17728527,2.877531237,2.714220407,2.606218603,2.379634675,2.180785485,2.032645043,1.952967042
EMU,2.718595638,2.799909702,2.839495241,2.818311144,2.750788589,2.695955152,2.625576494,2.634132373,2.52627664,2.425160069,2.357704102,2.165975702,2.065021039,2.002679231,1.925106585,1.798715189,1.782946471,1.746694352,1.700627472,1.676058816,1.639651988,1.59148909,1.576505769,1.573949074,1.557938112,1.467983877,1.469869053,1.427344244,1.465084037,1.553307029,1.479951544
ERI,,,,,,,,,,,,,,21.32911392,12.71594203,19.53911241,20.34481906,11.86041497,32.49706661,34.37776845,32.65567119,22.13679156,20.67187836,20.86574531,,,,,,,
ESP,2.489895785,2.582108745,2.660306746,2.9362729,2.966005504,2.954721708,2.62503668,2.614700689,2.489375217,2.359675142,2.293305209,2.129192231,2.042803676,2.011871737,2.001337402,1.917022395,1.814439016,1.722815679,1.757319949,1.755234589,1.725517988,1.629584033,1.455973702,1.422544393,1.43022118,1.387177754,1.370007461,1.363106312,1.367620485,1.358353837,1.387378124
EST,,,,,,,,,,,,,,0.761751961,1.041630274,0.958098327,0.873596074,1.046772487,1.067491718,1.287113364,1.376327115,1.502214462,1.667129501,1.743049295,1.699689225,1.450919932,1.387562066,1.657320236,1.767197613,1.799059796,1.700425622
ETH,8.708582133,7.536958032,7.539018428,7.179617834,7.969148162,6.823904199,6.697237569,6.855673685,8.50143611,10.27664846,9.657969809,5.705131545,3.441708349,3.071688351,2.868438702,2.225616054,2.117138489,3.343177478,7.276936149,9.506942683,7.613843906,4.349020778,3.719388099,3.238842734,3.072650407,2.812218375,2.307149324,1.89627733,1.515847964,1.204601578,1.153942527
EUU,2.724331431,2.803341901,2.834250215,2.8088203,2.738529367,2.699502818,2.611398473,2.634235311,2.538676219,2.450007893,2.37914535,2.187303746,2.08758277,2.024711423,1.946062294,1.813149454,1.795937598,1.761303287,1.718065969,1.691862766,1.654468282,1.610537294,1.594268886,1.588869219,1.563771744,1.483683391,1.479162342,1.438863911,1.457743705,1.534727711,1.469559311
FCS,4.075312843,3.847987858,3.191928685,3.766297,3.827843405,3.162993458,3.14092753,,,,,,2.155772207,2.441850978,2.613851982,1.779739827,1.434793759,1.755542391,1.787760533,2.444834812,2.256633881,2.152390812,2.117749372,1.960934591,1.937715509,1.846562584,1.767623404,1.846035305,1.896591914,1.837200438,1.542322138
FIN,1.67093548,1.545586731,1.64375015,1.823263814,1.604041801,1.676579073,1.723909953,1.64553301,1.607691173,1.534314492,1.563351499,1.781231036,1.907131012,1.868011507,1.755603595,1.422541499,1.530472271,1.535155051,1.463175558,1.223103772,1.241147504,1.144512833,1.154637229,1.446857263,1.470163565,1.46451774,1.442401862,1.287520506,1.390939404,1.560742356,1.49175816
FJI,0.862051438,0.919420509,1.154967799,1.241420841,1.222607935,1.133157925,1.043961754,1.969527484,2.052015089,2.270106632,2.10875526,2.166788254,1.840414107,1.808559319,1.702637273,1.62578739,1.424246345,1.364959581,1.259188866,1.131806343,1.756243418,1.82458369,1.548566731,1.486500874,1.583875953,1.323594614,1.608599017,2.237099998,1.52095281,1.786579257,1.605128941
FRA,3.155205085,3.24613261,3.223839134,3.237131775,3.187369251,3.143932802,3.085765016,3.120451605,2.963180609,2.879935312,2.805267627,2.812136438,2.690660711,2.689534806,2.66037496,2.492496189,2.414473951,2.375409653,2.226208307,2.17784297,2.085018245,2.03069529,2.04625799,2.095680413,2.104350835,2.023706919,1.9750983,1.907528634,1.897075896,2.098147335,1.969419353
FRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAB,1.603627516,2.28680324,2.447640676,2.553586628,2.255494152,2.859046984,3.995927717,,,,,,,,,,,,,,1.801452248,1.793952098,1.783170277,1.668327933,1.613166169,1.248682169,1.28261921,,,,1.871622566
GBR,5.019903459,4.983763369,5.381326521,5.39688559,5.508079498,5.320704619,5.059823737,4.686668443,4.214287628,4.040954332,3.983217695,4.116802423,3.864717766,3.590649512,3.381933718,2.854199491,2.724592322,2.560148772,2.495962275,2.422909593,2.372796645,2.411122101,2.485659675,2.552062015,2.497821368,2.422716076,2.369674403,2.374657771,2.487150085,2.647724533,2.567999605
GEO,,,,,,,,,,,,,,,,,2.210173027,1.253587669,1.136973956,0.924374856,0.615582491,0.740186005,1.000532997,1.068489125,1.373838972,3.339169797,5.218306951,9.159116517,8.520118395,5.606597051,3.709632391
GHA,0.773574779,0.741113532,,0.341179539,0.593211882,1.000443087,0.900516844,0.892627346,0.437880518,0.430846522,0.276510427,0.368975045,0.37734722,0.42195164,0.426586696,0.335747717,0.286903633,0.287938176,0.334707661,0.3336711,0.4436304,0.264452813,0.260305615,0.30375831,0.277570912,0.260967076,0.262213533,0.370332915,0.2940335,0.336757871,0.282687655
GIB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIN,0.902357646,0.793828345,0.639108638,,,,,,,,,2.38055426,1.694640615,1.340709363,1.356116905,,,1.172819262,1.254991803,1.595131143,1.534637514,3.100210546,3.324680244,2.441181415,2.22856441,,,,,,
GMB,,,,0.34090903,0.477501573,0.551225895,0.563939017,0.631086622,0.810531317,0.95839227,0.461265972,0.504243267,0.409650499,0.279219754,0.255557492,0.30461567,0.397307469,0.407575946,0.384833815,0.325833061,0.315793599,0.234862059,0.24438081,0.227388636,0.192621402,0.277027429,0.260242378,0.355318377,1.094917658,0.482205428,
GNB,,,0.008694578,0.013478315,0.015024038,0.010903144,0.024396442,0.058086957,,0.181085044,,,,,0.317965024,0.49556809,0.566593083,0.650521153,1.404761905,,2.628030362,1.626726771,1.558602899,1.575423111,,1.894599283,,,,1.550257692,1.823879576
GNQ,,,,,,,,,,,,,,,1.98642304,2.045616853,,,,,,,,,,,,1.501825824,1.482309067,2.474929604,
GRC,4.660805995,5.735701309,5.626593458,5.172476663,4.835444337,4.692566938,4.128015122,4.255520448,4.198232231,3.765869465,3.798260327,3.48486511,3.62980089,3.600124696,3.581972329,3.173190196,3.311913282,3.36586889,3.533868815,3.360469945,3.46535532,3.251412856,3.077374575,2.493894752,2.60567253,2.836596277,2.78341887,2.679305921,2.983052345,3.224841138,2.750218262
GRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTM,1.316851537,1.889449104,2.025718678,2.035934099,2.190849287,2.007370436,1.667497995,1.750710007,1.869076997,1.80285163,1.728011563,1.268437264,1.472620375,1.267060171,1.178534599,1.080427374,0.895717414,0.742817943,0.720839851,0.67560076,0.918401635,1.052062929,0.762245026,0.815655343,0.479416089,0.383913657,0.431829465,0.398456601,0.468231103,0.395326074,0.441382604
GUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUY,3.700265252,3.944896681,5.126556017,4.516348774,4.674705882,8.436863544,5.355855856,3.08608877,2.663766014,1.583736689,0.90582828,0.582892778,0.969692301,0.950952236,1.005936721,0.915520386,0.787830934,,,,1.765977248,2.017945623,2.293286681,2.199716827,2.809324834,1.410485837,0.805815135,0.914399668,1.008881075,0.981015648,0.905210396
HIC,3.691252268,4.001139117,4.60998489,4.385149411,4.405573541,4.464405662,4.046464996,3.897434804,3.633709087,3.556522578,3.446767991,3.140863676,3.064800412,2.897094999,2.698872453,2.441580932,2.378817839,2.398574774,2.338195712,2.257183532,2.265900234,2.299493669,2.415179664,2.497571932,2.512064831,2.524839639,2.516695058,2.493882645,2.588447551,2.85274769,2.813381712
HKG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HND,2.221356196,2.145770527,2.307559842,2.274943126,2.440494125,2.582772359,2.77011947,2.950030102,2.853745541,2.670795433,2.201483609,1.544685546,,1.157829785,,,,,,,0.72992906,0.822610515,0.809187514,0.998264922,0.682692754,0.641478464,0.692430001,0.776008265,0.953978556,1.074910696,1.074457208
HPC,2.725460008,2.857361229,2.885150155,3.154018327,3.162657855,3.079206753,3.168255987,2.722168705,2.900023937,2.970252578,3.293002968,3.108791133,2.121415232,2.3037152,1.927653347,1.556301262,1.451114922,1.469628419,2.139173787,2.383111782,2.038688114,1.943458454,1.83582588,1.558071877,1.888074826,1.530095994,1.606977394,1.787590189,1.848899493,1.83012463,1.312435686
HRV,,,,,,,,,,,,,7.607386443,10.72675715,11.14817729,9.175691323,8.163214704,7.521586424,5.595251297,4.416376933,3.020986603,2.704608554,2.709843611,2.027701044,1.741865921,1.745643601,1.670118856,1.616797625,1.831726129,1.789821051,1.681190044
HTI,,,,,,,,,0.088607367,0.089119409,0.102173248,0.111550388,0.113783289,0.106326028,0.077784781,0.106210123,,,,,,,,,,,,,,,
